id,name,category,base_system,constraint,archetype,structurally_distinct,why_distinct,what_the_constraint_changes,components,nodes,edges
"copilot-backend-bursty","Code assistant backend — burst-tolerant","AI & ML","Code assistant backend","burst-tolerant","inference","no","Latency budget shorter than a keystroke pause.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,queue:Surge queue,ratelimiter:Rate limiter","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"copilot-backend-regulated","Code assistant backend — audited","AI & ML","Code assistant backend","audited","inference","no","Latency budget shorter than a keystroke pause.","Every mutation is evidence, and the audit path cannot be sampled.","10","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,audit:Audit log,pii:PII vault,sign:Signer","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"knowledge-base-sync","Knowledge base indexing","AI & ML","Knowledge base indexing","base","pipeline","no","Re-embedding on every source change, at cost.","The straightforward shape, sized for steady load.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"knowledge-base-sync-costcapped","Knowledge base indexing — cost-capped","AI & ML","Knowledge base indexing","cost-capped","pipeline","no","Re-embedding on every source change, at cost.","Sized to a budget rather than to a latency target, which changes every answer.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"knowledge-base-sync-bursty","Knowledge base indexing — burst-tolerant","AI & ML","Knowledge base indexing","burst-tolerant","pipeline","no","Re-embedding on every source change, at cost.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,queue:Surge queue,ratelimiter:Rate limiter","client>kafka>stream>lake>etl>warehouse>bi"
"knowledge-base-sync-regulated","Knowledge base indexing — audited","AI & ML","Knowledge base indexing","audited","pipeline","no","Re-embedding on every source change, at cost.","Every mutation is evidence, and the audit path cannot be sampled.","10","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,audit:Audit log,pii:PII vault,sign:Signer","client>kafka>stream>lake>etl>warehouse>bi"
"multimodal-search","Multimodal search","AI & ML","Multimodal search","base","search","no","Two index types answering one query.","The straightforward shape, sized for steady load.","8","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"multimodal-search-costcapped","Multimodal search — cost-capped","AI & ML","Multimodal search","cost-capped","search","no","Two index types answering one query.","Sized to a budget rather than to a latency target, which changes every answer.","8","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"multimodal-search-bursty","Multimodal search — burst-tolerant","AI & ML","Multimodal search","burst-tolerant","search","no","Two index types answering one query.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB,queue:Surge queue,ratelimiter:Rate limiter","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"multimodal-search-regulated","Multimodal search — audited","AI & ML","Multimodal search","audited","search","no","Two index types answering one query.","Every mutation is evidence, and the audit path cannot be sampled.","11","client:Client,cdn:CDN,gateway:API gateway,app:Query API,search:Index,cache:Cache,cdc:Indexer,sql:Source DB,audit:Audit log,pii:PII vault,sign:Signer","client>cdn>gateway>app,app>search,app>cache,sql>cdc>search"
"llm-observability","LLM observability","AI & ML","LLM observability","base","pipeline","no","Tracing payloads far larger than the traces.","The straightforward shape, sized for steady load.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"llm-observability-costcapped","LLM observability — cost-capped","AI & ML","LLM observability","cost-capped","pipeline","no","Tracing payloads far larger than the traces.","Sized to a budget rather than to a latency target, which changes every answer.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"llm-observability-bursty","LLM observability — burst-tolerant","AI & ML","LLM observability","burst-tolerant","pipeline","no","Tracing payloads far larger than the traces.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,queue:Surge queue,ratelimiter:Rate limiter","client>kafka>stream>lake>etl>warehouse>bi"
"llm-observability-regulated","LLM observability — audited","AI & ML","LLM observability","audited","pipeline","no","Tracing payloads far larger than the traces.","Every mutation is evidence, and the audit path cannot be sampled.","10","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,audit:Audit log,pii:PII vault,sign:Signer","client>kafka>stream>lake>etl>warehouse>bi"
"ai-moderation","AI moderation queue","AI & ML","AI moderation queue","base","inference","no","Model first, human second, deadline throughout.","The straightforward shape, sized for steady load.","7","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"ai-moderation-costcapped","AI moderation queue — cost-capped","AI & ML","AI moderation queue","cost-capped","inference","no","Model first, human second, deadline throughout.","Sized to a budget rather than to a latency target, which changes every answer.","7","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"ai-moderation-bursty","AI moderation queue — burst-tolerant","AI & ML","AI moderation queue","burst-tolerant","inference","no","Model first, human second, deadline throughout.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,queue:Surge queue,ratelimiter:Rate limiter","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"ai-moderation-regulated","AI moderation queue — audited","AI & ML","AI moderation queue","audited","inference","no","Model first, human second, deadline throughout.","Every mutation is evidence, and the audit path cannot be sampled.","10","client:Client,gateway:API gateway,ratelimiter:Rate limiter,guard:Safety filter,llm:Model,vector:Vector store,cache:Response cache,audit:Audit log,pii:PII vault,sign:Signer","client>gateway>ratelimiter>guard>llm,llm>vector,gateway>cache"
"event-bus","Enterprise event bus","Streaming & events","Enterprise event bus","base","pipeline","no","Every team’s coupling problem in one component.","The straightforward shape, sized for steady load.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"event-bus-bursty","Enterprise event bus — burst-tolerant","Streaming & events","Enterprise event bus","burst-tolerant","pipeline","no","Every team’s coupling problem in one component.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,queue:Surge queue,ratelimiter:Rate limiter","client>kafka>stream>lake>etl>warehouse>bi"
"event-bus-strict","Enterprise event bus — strictly consistent","Streaming & events","Enterprise event bus","strictly consistent","pipeline","no","Every team’s coupling problem in one component.","No stale reads allowed, so the cache stops being a shock absorber.","8","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,zk:Coordinator","client>kafka>stream>lake>etl>warehouse>bi"
"event-bus-multiregion","Enterprise event bus — multi-region active-active","Streaming & events","Enterprise event bus","multi-region active-active","pipeline","no","Every team’s coupling problem in one component.","Two live regions; replication lag becomes a correctness question.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,gslb:Global LB,cdc:Replicator","client>kafka>stream>lake>etl>warehouse>bi"
"order-events","Order event stream","Streaming & events","Order event stream","base","pipeline","no","Ordering guarantees per key, not globally.","The straightforward shape, sized for steady load.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"order-events-bursty","Order event stream — burst-tolerant","Streaming & events","Order event stream","burst-tolerant","pipeline","no","Ordering guarantees per key, not globally.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,queue:Surge queue,ratelimiter:Rate limiter","client>kafka>stream>lake>etl>warehouse>bi"
"order-events-strict","Order event stream — strictly consistent","Streaming & events","Order event stream","strictly consistent","pipeline","no","Ordering guarantees per key, not globally.","No stale reads allowed, so the cache stops being a shock absorber.","8","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,zk:Coordinator","client>kafka>stream>lake>etl>warehouse>bi"
"order-events-multiregion","Order event stream — multi-region active-active","Streaming & events","Order event stream","multi-region active-active","pipeline","no","Ordering guarantees per key, not globally.","Two live regions; replication lag becomes a correctness question.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,gslb:Global LB,cdc:Replicator","client>kafka>stream>lake>etl>warehouse>bi"
"outbox","Transactional outbox","Streaming & events","Transactional outbox","base","writeheavy","no","The only honest way to publish and commit atomically.","The straightforward shape, sized for steady load.","8","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"outbox-bursty","Transactional outbox — burst-tolerant","Streaming & events","Transactional outbox","burst-tolerant","writeheavy","no","The only honest way to publish and commit atomically.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,queue:Surge queue,ratelimiter:Rate limiter","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"outbox-strict","Transactional outbox — strictly consistent","Streaming & events","Transactional outbox","strictly consistent","writeheavy","no","The only honest way to publish and commit atomically.","No stale reads allowed, so the cache stops being a shock absorber.","9","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,zk:Coordinator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"outbox-multiregion","Transactional outbox — multi-region active-active","Streaming & events","Transactional outbox","multi-region active-active","writeheavy","no","The only honest way to publish and commit atomically.","Two live regions; replication lag becomes a correctness question.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,gslb:Global LB,cdc:Replicator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"saga-orchestrator","Saga orchestrator","Streaming & events","Saga orchestrator","base","txn","no","Compensations are code paths nobody tests until they matter.","The straightforward shape, sized for steady load.","8","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"saga-orchestrator-bursty","Saga orchestrator — burst-tolerant","Streaming & events","Saga orchestrator","burst-tolerant","txn","no","Compensations are code paths nobody tests until they matter.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler,queue:Surge queue,ratelimiter:Rate limiter","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"saga-orchestrator-strict","Saga orchestrator — strictly consistent","Streaming & events","Saga orchestrator","strictly consistent","txn","no","Compensations are code paths nobody tests until they matter.","No stale reads allowed, so the cache stops being a shock absorber.","9","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler,zk:Coordinator","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"saga-orchestrator-multiregion","Saga orchestrator — multi-region active-active","Streaming & events","Saga orchestrator","multi-region active-active","txn","no","Compensations are code paths nobody tests until they matter.","Two live regions; replication lag becomes a correctness question.","10","client:Client,waf:WAF,gateway:API gateway,app:Transaction API,ledger:Ledger,sql:Records DB,queue:Settlement queue,worker:Settler,gslb:Global LB,cdc:Replicator","client>waf>gateway>app,app>ledger,app>sql,app>queue>worker"
"dead-letter","Dead letter handling","Streaming & events","Dead letter handling","base","writeheavy","no","The queue that fills when everything else is broken.","The straightforward shape, sized for steady load.","8","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"dead-letter-bursty","Dead letter handling — burst-tolerant","Streaming & events","Dead letter handling","burst-tolerant","writeheavy","no","The queue that fills when everything else is broken.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,queue:Surge queue,ratelimiter:Rate limiter","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"dead-letter-strict","Dead letter handling — strictly consistent","Streaming & events","Dead letter handling","strictly consistent","writeheavy","no","The queue that fills when everything else is broken.","No stale reads allowed, so the cache stops being a shock absorber.","9","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,zk:Coordinator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"dead-letter-multiregion","Dead letter handling — multi-region active-active","Streaming & events","Dead letter handling","multi-region active-active","writeheavy","no","The queue that fills when everything else is broken.","Two live regions; replication lag becomes a correctness question.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,gslb:Global LB,cdc:Replicator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"job-scheduler","Distributed job scheduler","Streaming & events","Distributed job scheduler","base","batch","no","Exactly-once triggering across a fleet that keeps restarting.","The straightforward shape, sized for steady load.","6","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store","scheduler>batch>lake>etl>warehouse,batch>blob"
"job-scheduler-bursty","Distributed job scheduler — burst-tolerant","Streaming & events","Distributed job scheduler","burst-tolerant","batch","no","Exactly-once triggering across a fleet that keeps restarting.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","8","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store,queue:Surge queue,ratelimiter:Rate limiter","scheduler>batch>lake>etl>warehouse,batch>blob"
"job-scheduler-strict","Distributed job scheduler — strictly consistent","Streaming & events","Distributed job scheduler","strictly consistent","batch","no","Exactly-once triggering across a fleet that keeps restarting.","No stale reads allowed, so the cache stops being a shock absorber.","7","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store,zk:Coordinator","scheduler>batch>lake>etl>warehouse,batch>blob"
"job-scheduler-multiregion","Distributed job scheduler — multi-region active-active","Streaming & events","Distributed job scheduler","multi-region active-active","batch","no","Exactly-once triggering across a fleet that keeps restarting.","Two live regions; replication lag becomes a correctness question.","8","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store,gslb:Global LB,cdc:Replicator","scheduler>batch>lake>etl>warehouse,batch>blob"
"cron-fanout","Scheduled fan-out","Streaming & events","Scheduled fan-out","base","batch","no","Everything fires at midnight, including everyone else’s.","The straightforward shape, sized for steady load.","6","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store","scheduler>batch>lake>etl>warehouse,batch>blob"
"cron-fanout-bursty","Scheduled fan-out — burst-tolerant","Streaming & events","Scheduled fan-out","burst-tolerant","batch","no","Everything fires at midnight, including everyone else’s.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","8","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store,queue:Surge queue,ratelimiter:Rate limiter","scheduler>batch>lake>etl>warehouse,batch>blob"
"cron-fanout-strict","Scheduled fan-out — strictly consistent","Streaming & events","Scheduled fan-out","strictly consistent","batch","no","Everything fires at midnight, including everyone else’s.","No stale reads allowed, so the cache stops being a shock absorber.","7","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store,zk:Coordinator","scheduler>batch>lake>etl>warehouse,batch>blob"
"cron-fanout-multiregion","Scheduled fan-out — multi-region active-active","Streaming & events","Scheduled fan-out","multi-region active-active","batch","no","Everything fires at midnight, including everyone else’s.","Two live regions; replication lag becomes a correctness question.","8","scheduler:Scheduler,batch:Batch job,lake:Lake,etl:Transform,warehouse:Warehouse,blob:Object store,gslb:Global LB,cdc:Replicator","scheduler>batch>lake>etl>warehouse,batch>blob"
"email-sending","Transactional email","Streaming & events","Transactional email","base","writeheavy","no","Downstream providers throttle you without warning.","The straightforward shape, sized for steady load.","8","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"email-sending-bursty","Transactional email — burst-tolerant","Streaming & events","Transactional email","burst-tolerant","writeheavy","no","Downstream providers throttle you without warning.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,queue:Surge queue,ratelimiter:Rate limiter","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"email-sending-strict","Transactional email — strictly consistent","Streaming & events","Transactional email","strictly consistent","writeheavy","no","Downstream providers throttle you without warning.","No stale reads allowed, so the cache stops being a shock absorber.","9","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,zk:Coordinator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"email-sending-multiregion","Transactional email — multi-region active-active","Streaming & events","Transactional email","multi-region active-active","writeheavy","no","Downstream providers throttle you without warning.","Two live regions; replication lag becomes a correctness question.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,gslb:Global LB,cdc:Replicator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"sms-gateway","SMS gateway","Streaming & events","SMS gateway","base","writeheavy","no","Per-message cost makes retries a budget decision.","The straightforward shape, sized for steady load.","8","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"sms-gateway-bursty","SMS gateway — burst-tolerant","Streaming & events","SMS gateway","burst-tolerant","writeheavy","no","Per-message cost makes retries a budget decision.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,queue:Surge queue,ratelimiter:Rate limiter","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"sms-gateway-strict","SMS gateway — strictly consistent","Streaming & events","SMS gateway","strictly consistent","writeheavy","no","Per-message cost makes retries a budget decision.","No stale reads allowed, so the cache stops being a shock absorber.","9","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,zk:Coordinator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"sms-gateway-multiregion","SMS gateway — multi-region active-active","Streaming & events","SMS gateway","multi-region active-active","writeheavy","no","Per-message cost makes retries a budget decision.","Two live regions; replication lag becomes a correctness question.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,gslb:Global LB,cdc:Replicator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"push-notifications","Mobile push","Streaming & events","Mobile push","base","writeheavy","no","Millions of deliveries in a few seconds, twice a day.","The straightforward shape, sized for steady load.","8","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"push-notifications-bursty","Mobile push — burst-tolerant","Streaming & events","Mobile push","burst-tolerant","writeheavy","no","Millions of deliveries in a few seconds, twice a day.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,queue:Surge queue,ratelimiter:Rate limiter","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"push-notifications-strict","Mobile push — strictly consistent","Streaming & events","Mobile push","strictly consistent","writeheavy","no","Millions of deliveries in a few seconds, twice a day.","No stale reads allowed, so the cache stops being a shock absorber.","9","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,zk:Coordinator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"push-notifications-multiregion","Mobile push — multi-region active-active","Streaming & events","Mobile push","multi-region active-active","writeheavy","no","Millions of deliveries in a few seconds, twice a day.","Two live regions; replication lag becomes a correctness question.","10","client:Client,lb:Load balancer,gateway:API gateway,app:Write API,queue:Ingest queue,worker:Writer,sql:Primary DB,cache:Read cache,gslb:Global LB,cdc:Replicator","client>lb>gateway>app,app>queue>worker>sql,app>cache"
"audit-stream","Audit event stream","Streaming & events","Audit event stream","base","pipeline","no","Append-only, immutable, and legally interesting.","The straightforward shape, sized for steady load.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"audit-stream-bursty","Audit event stream — burst-tolerant","Streaming & events","Audit event stream","burst-tolerant","pipeline","no","Append-only, immutable, and legally interesting.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,queue:Surge queue,ratelimiter:Rate limiter","client>kafka>stream>lake>etl>warehouse>bi"
"audit-stream-strict","Audit event stream — strictly consistent","Streaming & events","Audit event stream","strictly consistent","pipeline","no","Append-only, immutable, and legally interesting.","No stale reads allowed, so the cache stops being a shock absorber.","8","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,zk:Coordinator","client>kafka>stream>lake>etl>warehouse>bi"
"audit-stream-multiregion","Audit event stream — multi-region active-active","Streaming & events","Audit event stream","multi-region active-active","pipeline","no","Append-only, immutable, and legally interesting.","Two live regions; replication lag becomes a correctness question.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,gslb:Global LB,cdc:Replicator","client>kafka>stream>lake>etl>warehouse>bi"
"cdc-bus","CDC event bus","Streaming & events","CDC event bus","base","pipeline","no","Database changes as a public API, with all that implies.","The straightforward shape, sized for steady load.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"cdc-bus-bursty","CDC event bus — burst-tolerant","Streaming & events","CDC event bus","burst-tolerant","pipeline","no","Database changes as a public API, with all that implies.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,queue:Surge queue,ratelimiter:Rate limiter","client>kafka>stream>lake>etl>warehouse>bi"
"cdc-bus-strict","CDC event bus — strictly consistent","Streaming & events","CDC event bus","strictly consistent","pipeline","no","Database changes as a public API, with all that implies.","No stale reads allowed, so the cache stops being a shock absorber.","8","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,zk:Coordinator","client>kafka>stream>lake>etl>warehouse>bi"
"cdc-bus-multiregion","CDC event bus — multi-region active-active","Streaming & events","CDC event bus","multi-region active-active","pipeline","no","Database changes as a public API, with all that implies.","Two live regions; replication lag becomes a correctness question.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,gslb:Global LB,cdc:Replicator","client>kafka>stream>lake>etl>warehouse>bi"
"iot-telemetry","IoT telemetry","Streaming & events","IoT telemetry","base","edgeiot","no","Many tiny writers on links that come and go.","The straightforward shape, sized for steady load.","7","client:Device,edge:Edge collector,mq:Broker,stream:Processor,tsdb:Time series,alert:Alerting,blob:Cold store","client>edge>mq>stream>tsdb,stream>alert,stream>blob"
"iot-telemetry-bursty","IoT telemetry — burst-tolerant","Streaming & events","IoT telemetry","burst-tolerant","edgeiot","no","Many tiny writers on links that come and go.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Device,edge:Edge collector,mq:Broker,stream:Processor,tsdb:Time series,alert:Alerting,blob:Cold store,queue:Surge queue,ratelimiter:Rate limiter","client>edge>mq>stream>tsdb,stream>alert,stream>blob"
"iot-telemetry-strict","IoT telemetry — strictly consistent","Streaming & events","IoT telemetry","strictly consistent","edgeiot","no","Many tiny writers on links that come and go.","No stale reads allowed, so the cache stops being a shock absorber.","8","client:Device,edge:Edge collector,mq:Broker,stream:Processor,tsdb:Time series,alert:Alerting,blob:Cold store,zk:Coordinator","client>edge>mq>stream>tsdb,stream>alert,stream>blob"
"iot-telemetry-multiregion","IoT telemetry — multi-region active-active","Streaming & events","IoT telemetry","multi-region active-active","edgeiot","no","Many tiny writers on links that come and go.","Two live regions; replication lag becomes a correctness question.","9","client:Device,edge:Edge collector,mq:Broker,stream:Processor,tsdb:Time series,alert:Alerting,blob:Cold store,gslb:Global LB,cdc:Replicator","client>edge>mq>stream>tsdb,stream>alert,stream>blob"
"game-events","Game telemetry","Streaming & events","Game telemetry","base","pipeline","no","Volume that tracks player count, which tracks nothing predictable.","The straightforward shape, sized for steady load.","7","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI","client>kafka>stream>lake>etl>warehouse>bi"
"game-events-bursty","Game telemetry — burst-tolerant","Streaming & events","Game telemetry","burst-tolerant","pipeline","no","Volume that tracks player count, which tracks nothing predictable.","Load arrives in spikes 20× the mean; steady-state sizing is a trap.","9","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,queue:Surge queue,ratelimiter:Rate limiter","client>kafka>stream>lake>etl>warehouse>bi"
"game-events-strict","Game telemetry — strictly consistent","Streaming & events","Game telemetry","strictly consistent","pipeline","no","Volume that tracks player count, which tracks nothing predictable.","No stale reads allowed, so the cache stops being a shock absorber.","8","client:Producer,kafka:Event log,stream:Stream processor,lake:Lake,etl:Transform,warehouse:Warehouse,bi:BI,zk:Coordinator","client>kafka>stream>lake>etl>warehouse>bi"
